IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.116.26,443,443,true,SIN,Asia Pacific,Singapore,80,4.38
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,53,4.38
47.74.11.251,8880,8880,false,NRT,Asia Pacific,Tokyo,76,4.37
47.91.19.165,2086,2086,false,NRT,Asia Pacific,Tokyo,82,4.37
8.219.122.96,2082,2082,false,SIN,Asia Pacific,Singapore,7,4.37
8.219.152.195,8080,8080,false,SIN,Asia Pacific,Singapore,12,4.37
47.74.22.88,2052,2052,false,NRT,Asia Pacific,Tokyo,79,4.37
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,4.37
47.245.107.174,2086,2086,false,SIN,Asia Pacific,Singapore,5,4.36
47.245.126.151,8080,8080,false,SIN,Asia Pacific,Singapore,28,4.36
47.236.7.246,2096,2096,true,SIN,Asia Pacific,Singapore,60,4.36
8.222.224.163,2082,2082,false,SIN,Asia Pacific,Singapore,15,4.36
47.236.87.246,8880,8880,false,SIN,Asia Pacific,Singapore,18,4.36
8.222.208.83,8443,8443,true,SIN,Asia Pacific,Singapore,75,4.36
8.219.173.195,8880,8880,false,SIN,Asia Pacific,Singapore,16,4.36
47.236.99.131,8080,8080,false,SIN,Asia Pacific,Singapore,21,4.36
8.217.193.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,121,4.35
47.243.161.235,2087,2087,true,HKG,Asia Pacific,Hong Kong,102,4.34
47.74.15.80,80,80,false,NRT,Asia Pacific,Tokyo,72,4.34
8.209.200.73,8080,8080,false,NRT,Asia Pacific,Tokyo,81,4.34
47.74.11.251,8880,8880,false,NRT,Asia Pacific,Tokyo,86,4.34
8.210.119.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,4.34
8.222.221.109,2083,2083,true,SIN,Asia Pacific,Singapore,29,4.34
47.245.113.12,2087,2087,true,SIN,Asia Pacific,Singapore,46,4.34
8.209.248.161,8080,8080,false,NRT,Asia Pacific,Tokyo,89,4.34
47.245.126.151,80,80,false,SIN,Asia Pacific,Singapore,7,4.34
47.236.7.13,8080,8080,false,SIN,Asia Pacific,Singapore,491,4.33
8.219.210.226,2096,2096,true,SIN,Asia Pacific,Singapore,89,4.33
8.209.241.128,8880,8880,false,NRT,Asia Pacific,Tokyo,87,4.33
8.209.243.172,2052,2052,false,NRT,Asia Pacific,Tokyo,82,4.33
47.74.16.255,8080,8080,false,NRT,Asia Pacific,Tokyo,77,4.33
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,59,4.33
47.74.27.211,80,80,false,NRT,Asia Pacific,Tokyo,112,4.33
8.222.221.86,8080,8080,false,SIN,Asia Pacific,Singapore,9,4.33
47.74.13.94,2082,2082,false,NRT,Asia Pacific,Tokyo,91,4.33
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,4.32
8.222.244.123,2096,2096,true,SIN,Asia Pacific,Singapore,52,4.32
8.219.72.51,2083,2083,true,SIN,Asia Pacific,Singapore,111,4.32
47.251.74.226,80,80,false,LAX,North America,Los Angeles,177,4.32
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,4.32
8.222.211.16,2086,2086,false,SIN,Asia Pacific,Singapore,5,4.32
8.209.248.161,80,80,false,NRT,Asia Pacific,Tokyo,84,4.31
47.74.21.61,8880,8880,false,NRT,Asia Pacific,Tokyo,83,4.31
